file_name,vakyansh_transcription,fine_tuned_whisper_transcription
broken-vad_00_lshQKEpvm6c-7,మీరర ,వాడు మాయము దిట్టిన్ సార్ వాడు మాయము దిట్టిన్ సార్ వాడు మాయము దిట్టిన్ సార్ వాడు దిట్టిన్ సార్
broken-vad_01_E8KRQoNpp8Y-0,హలో యూవస్ వెల్కంగ్ర తెలిగవయూట్యూబ్ ఛానల్ కంపెనీలో పెట్టుబడి చేసేటప్పుడు మూడు రకాల ఇన్వెస్టరస్పెట్టుబడి దారుల గురించి మనం తరచుగా వింటూనే ఉంటాము వాళ్ళు ఎవరో కాదు ప్రమోటస్ ఫారన్ ఇన్స్టిట్యూషనల్ ఇన్వెస్టర్అఅంటుంటాము రమస్ట ఇన్స్ట్యూషన్ ఇన్వెస్టని అంటూంటాంు అ ముగ్గురుఎందుంత ముఖ్యమై,హెల్వ్ వ్యూవర్స్ వెల్కంస్తుగ్రాలు తెలిగివి యూట్యూట్ ఛానల్ ఓ కంపెనీలో పెట్టుబడి చేసేటప్పుడు మూడు రకాల ఇన్వెస్టర్స్ వారు పెట్టుబడిదారు గురించి మనం తరచుగా వెంటునే ఉంటాము వాళ్లు ఎవరో కాదు ప్రమోటర్స్ ఫారెన్ ఇన్స్ట్యూషనల్ ఇన్వెస్టర్స్ డీఐయాన
broken-vad_01__5BntK9iyo4-2,తమ జీవితాల్లోకి కొత్త ఆనందాన్ని తీసుకుని వచ్చిన శిశువుతో ముచ్చట్లు చెప్పేందుకు ఏ తల్లిదండ్రులు ఇష్టపడరు చెప్పండి ,తమ జీవితంలోకి కొత్త ఆనందాన్ని తీసుకొని వచ్చిన శిశువుతో బుచ్చట్లు చెప్పేందుకు ఏ తల్లిదండ్రులు ఇష్టపడటి చెప్పండి
broken-vad_02_WSrcQ5d4eGs-0,ఏఆగాగ క్కడోట రే ,ఆగా కల్పోతున్న వేటి లోపులు కాలడానికి ఇల్లేదు ఇది లేడిసుండి ఆట్లో కాకులం  వలస  మాందసా మీవురు పాక్కనేమ వూర్కలేదు పక్కురేతి లోపులకు గెత్తరేటీ ఏలడానికి ఇల్లేదంటీ ఇల్లేదు
broken-vad_02_YvnbpgyNEG0-2,అంటే ఆల్మోస్ట్ అన్ని జిల్లాల్లోనూ మన విశాఖపట్నం నుంచి ఈస్టు గూడావరి నుంచి శ్రీకాకుళ డిస్ట్రిక్టస్ వరకు ఉన్న ిస్టరిక్్లోనూ ఒకటి రెండు చోట్ల అంటే ఏదో ఒక చోట ఒకటి రెండు చోట్ల భారీ వర్షం నమోదయ్య అవకాశం ఉంది అలాగే సౌత్ కోస్ట్ లో ఆంధ్రప్రదేశ్ లో ఉన్నటువంటి జిల్లాలో ఒకటి రెండు చోట్ల భారీ వర్ష,అల్మోస్టు అన్ని జిల్లాల్లోనూ విశాఖపట్నం నుంచి ఈస్టుగొడావరించి స్ట్రికాకుల డిస్టిక్స్ వరకు ఉన్న అన్ని డిస్టిక్స్లోనూ ఒకటి రెండు చోట్లా ఏదొకచోట ఒకటి రెండు చోట్లా భారీవర్షం నమోదయ్య అవకాశం ఉంది
broken-vad_02_YvnbpgyNEG0-4,ంగా ఉండాలని ఆదేశించారు మరోవైపు ఏపీలోనూ వర్షాలు దంచికొడుతున్నాయి పోలవరం ప్రాజెక్టు వద్ద పిల్ ఎగువకు వరదనీరు వచ్చి చేరుతోంది ఉన్నతాధికారులు ఎప్పటికప్పుడు పరిస్థితిని సమీక్షిస్తున్నారు ఇటు ధౌళశ్వరం బ్యారేజీ వద్ద కూడా గోదావరి నీటి మొట్టం అంతకంతకు పెరుగుతోంది గోదావరి ఉగ్రరూపం దాల్చడంతో తూర్పు గోదావరిలోని లంకలు వలవలాడుతున్నాయి ,ఉండాలని ఆదేశించారు మరువైపు ఏపీలోనూ వర్షాలు దంచికొడుతున్నాయి పోలవరం ప్రాజెక్టు వద్ద స్పిల్వే ఎగువకు వరదనీదు వచ్చి చేరుతోంది ఉన్నతాధికారులు ఎప్పటికప్పుడు పరిస్థితిని సమీక్షిస్తున్నారు ఇటు దవాలిశ్వరం బ్యారేజీ వద్ద కూడా గోదావరి ఉగ్గరించడ�
broken-vad_02_YvnbpgyNEG0-5,వరదనీటి ఉద్ధృత్తికి గట్లు చాలా చోట కోతకు గురవుతున్నాి ఇటు ఏటికట్లు బలహీనంగా మారడంతో ఎప్పుడేం జరుగుతుందో ని లంకలు ప్రాణాలు అరచేతిలో పెట్టుకుని గడుపుతున్నాయి కొన్ని చోట్ల ముంపు భయంతో ఎత్తైన ప్రాంతాల్లో గుడారాలు వేసుకుని తలదాచుకుంటున్నారు జనం ,వరద నీటి ఉధృతికి గట్లు చాలా చోట కోతకు గురవుతున్నాయి ఇటుగట్లు బలహీనంగా మారడంతో ఎప్పుడేం జరుగుతుందోనని లంకలు ప్రాణాలు అరచేతిలో పెట్టుకుని గడుపుతున్నాయి కొన్నిచోట్ల ముంపు భయంతో ఎత్తైన ప్రాంతాల్లో గుడారాలు వేసుకుని తలదాచుకుంటున్నారు
broken-vad_02_eWANW0LMQWw-10,్ల ఉంటా అక్కడ చేస్తాఇక్కడ చేస్తాను నువ్వు లా తప్పించుకుంటామని ఆల్రెడీనీ ఫ్లైట్ టికెట్లు బుక్ చేస్తే అర్జెంట్గా వెళ్లాలి అవుంపోచ్ు టిఏయిర్పో్టు ఎరు మను లేంట రెండు రాష్ట్రాలో ఎక్కడ పెద్ద మంషన ఫంక్షన్ జరిగిన అక్కడికి ళ్ిచత,సత్తుబండ్లోకా ఉంటాను అక్కడం చేస్తానే ఇక్కడ అదే చేస్తాను నువ్విలా తప్పించుకుంటానే అర్డుని ఫ్లైటికేట్లు చేసేనా అర్జెంట్గా వెళ్లాలి ఆర్ట్లో కేలిపోవచ్చు అదేవాడు ఏర్పోట్టు మనులేరుంటి
broken-vad_02_eWANW0LMQWw-14,ిపోర్ ప్రాబ్ల ల్లీ స,సైలెంట్లో పోగెట్టా బండు బోర్కొచ్చిన సార్ ఏడు మీ ప్రాప్లమెంటీ ఓరై దోవలమందుగూడా ఎంతులా కొట్టరుగాదడిగా కుంటే పొల్లీషన్ కేసేర్తున్నారని ఏమానం నటుకోవడికి అత్తాను పొలీసులు కేసుపేటా కేసుపేటా మేఘాలు గలిస్పోతుకువాదు పొగాంత సరీపుట్టుకి పొగాపుతు
broken-vad_02_eWANW0LMQWw-4,గర అడ్ కృష్ణభాన్ గారు ే చూసారు కైదే చూశారా బీస్లో పల్లి ల్మకూడం చూశారు లైట్లో పల్లి లమ్ కూడా చూశారా కార్కి,గారు ప్రశ్నభగ్వాన్ గారు గారు గారు గారు గారు
broken-vad_02_eWANW0LMQWw-7,మరణం తప్పద మరణించినవా పట్టడం తప్అలాగే బయటకి వెళ్లివాడిి వడం తప్ అర్మరావడం తప్అర్థమపెళ్లి చేసుకుదా నీకు అనిపిస్తుంది ఓకరి సినిమాలో పండుగాడు దొరుకుతాడు అనుకుండి సత్త పండుగాడు దొరికాడు  కనీస,తప్పదు మరణించిన వారిని పొట్టడం తప్పదు అలాగే బయటకు వాడికి లోపటికి రావడం తప్పదను అర్థమైనార్థమైనార్థమైనార్థమైనార్థమైనార్థమైనార్థమై
broken-vad_02_eWANW0LMQWw-8,చెప్పుకవాలిరెండ సోర రాబబమూడ సోతర బబబబ,చాల్చాల్లే కానీ ఏంటి పోల్లో మర్యాదు ఎలా జరిగింది అలా జరిగింది వచ్చాబబాబు రా అన్నారు
broken-vad_03_62WGmeWoYQ0-1,న్వు ,వండుకుంటవరు నువ్వు సదుకుని నాలేరు వెంచరా అంటే నాలుగు తిక్కులు వచ్చుతావరా మీవుడు చండర్ల బొమ్మెట్లు ఉంటారు
broken-vad_03__5BntK9iyo4-0,వారి భూసిన వులలో అంతులేని ఆనందాన్ని చూసుకోవడం ఎవరికైనా సహజమే ఈ క్రమంలో శశవుఆడించేందుకు రంగురంగుల వస్తువులను వారికి చూపిస్తూ ఉంటారు కాస్తంత దూరంగా ఉన్న వస్తువుని శిశవు చూడగలుగుతారా అనే సందేహం మీకు రావచ్చు అంతేకాదు వారు రంగులను గుర్తించగలుగుతారా అనే సందేహం వస్తుంది ,వారి భూసి నవ్వులలో అంతులేని ఆనందాన్ని చూసుకోవటం ఎవరికైనా సహజమే ఈ క్రమంలో శిశువును ఆడించేందుకు రంగురంగుల వస్తువులను వారికి చూపిస్తూ ఉంటారు కాస్తంత దూరంగా ఉన్న వస్తువుని శిశువు చూడగలుగుతాడా అనే సందేహం వస్తుంది
broken-vad_04_Qr81X7ADSC4-1,కనిపించింది కాపోతది ఇంకా కొద్దిగా పెద్దపించలేదుిచూద్దాం ఫి చూసుకుంటే ఫ్రెం్ నుంచి ఫ్రెడపరొఫల్ చూడొచ్చు్తుంది,కనిపించింది కాపుతాదింగా కొద్దిగా పెద్ద ఇంజన్ ట్విన్ సిలిండర్ ఇంజన్ సింగిల్ సిలిండర్ ట్విన్ ఎగ్జాస్ట్ ఉంటుంది అంతమించి ఎక్కడ నాకు డిఫరెన్స్ అయితే కనిపించి లేదు
broken-vad_04__5BntK9iyo4-0,పుట్టిన బిడ్డ ఒకఎక్కువక్కండన్నప్పుడు తల్లి ముఖ,పుట్టిన బిడ్డ ఒక ఫీట్ ఒకటిన ఫీట్ల కంటే ఎక్కువ రెండు కండా ఫోకస్ చేయలేదు బైనాకుల విజన్ అనేది రెండు ఫీట్ల కంటే ఎక్కుండదు కానుక తల్లి దిగల ఉన్నప్పుడు తల్లి మూకాన్ని గుర్తుబట్టా కలుగుతాది మొదటినెలల్లో పాపా
broken-vad_04__5BntK9iyo4-3,తోటలకు  కట్టే,తొట్టెలకు ఎలుగు ఆకుపచ్చదంగు ఉండి రెట్టు చిలికలి బట్టేది ఎలుపు ఆకుపచ్చదంగు
broken-vad_04_bDiT5kKKnjY-0,ఒక కార్వాషర్ అయితే తెప్పించడం జరిగింది ఇట్లోమనకు డ్ి రెండు మోడాల్స్ ఉంటాయి ఎ్ అనేది మనకు  ఎవలబుల్గా ఉంది దీ ప్రత్యేకత ఏటటే ఈడ్జెట్ కార్వాష్లో ఏంటంటే త వళళు ప్రవే్ చేరు మనం ఎక్స్ట్రా పరిచ్ చేసుకోవాల్సి వస్తంది కానీ దీంట్లో నకుప్రవే చేస్తు,కార్వాస్తు అయితే తెప్పిజం జరిగింది ఇంట్లో మనకు ఎస్త్రీ ఎండ్ ఎస్ఫై రెండు మోడల్స్ ఉంటే ఎస్త్రీ అనేది మనకు ఇండర్ ఫైతోజన్ బడ్జెట్లు అవెల్లుగా ఉంది దీని ప్రత్యేకి అంటే మోములుగా జనాలుగా ఈ బడ్జెట్ కార్వాస్తులో ఇంట్లు పైపైలు పైపుకూడా ప్రవాస్తులు
broken-vad_04_eWANW0LMQWw-33,అమెరికా నుంచి బుక్ చేసాను గ్రేట్ చెప్పడి తనబబల కట చేయడానికి అమెరికా నుంచి నావ ,అమెరికా నుంచి పుక్ చేసేను గ్రేట్ చెప్పని గితనే డబుల్ కమిట్ చేయడానికి అమెరికా నుంచి రావాలా రాజీ అప్పా కేకార్ చేయడాను దుమైదాంకపోవాలను కాకీ కాకీ ఇంతకు ఈమె రెండి ఏమెనా పీఎయ్ అంటే పరిసిస్టెంట్ లేదు మాపక్కింట అమ్మే రావేంట దగ్గరివచేసిందగ్గరివచే
broken-vad_04_eWANW0LMQWw-52,ఎవరది చేస్తు్నాడు మీద అది నాిమూర్,మూర్తి మూర్తి మూర్తి వాడు నామ్యుదించం ఎవర్తది చేయాప్తి ఏడమేదా అది నాది మూర్తి వాడు నావాడు ఇదన హింటి మూర్తి ఇంటి ఒక యానిమల్లవరి అదు ఒకటి తెలుసు నాకు చాలు మూర్తి సిగ్గులేదా కుక్కలు కుక్కలితింటిది ఇలాంటిదంతో ఫ్రాన్షించేసేది
broken-vad_05_lshQKEpvm6c-0, మొత్తం న్ ెట్టప్పా  స్కూల్ ,మొత్తం నల్బై తెల్లా పీపుర్లు వీటినారు మీరు గాస్తుంది అని వెట్టారు పీపుర్ నీటింటారు మార్గులిస్తున్నారు నల్బై పీపుర్ నీటింటి అంటే రెండరుండటి ఎన్నిమార్కులు పాస్
broken-vad_05_lshQKEpvm6c-8,నుేరా ,అమ్మ ఇంతసాయకువగారు
